Alimento,Valor energético (Kcal),Agua (g),Proteínas (g),Lípidos totales (g),Colesterol (mg),Saturados (g),Monoinsaturados (g),Polininsaturados (g),Trans (g),18:2 cis Linoléico (g),18:3 cis Alfa linolénico (ALA) (g),20:4 Araquidónico (g),20:5 n-3 Eicosapentae- noico (EPA) (g),22:6 n-3 Docosahexae- noico (DHA) (g),Carbohidratos disponibles (g),Carbohidratos totales (g),Azúcar total (g),Azúcar agregado (g),Fibra alimentaria (g),Alcohol (g),Cenizas (g),Sodio (mg),Potasio (mg),Calcio (mg),Cobre (mg),Fósforo (mg),Hierro (mg),Magnesio (mg),Zinc (mg),Niacina (mg),Folato EFD (µg),Ácido fólico (µg),"Vitamina A, (µg)
RAE",Retinol (µg),Tiamina (mg),Riboflavina (mg),Vitamina B-12 (µg),Vitamina C (mg),Vitamina D (µg)
"Achicoria, hervida",12,94.2,1.6,0.3,0,0.07,0.01,0.13,0,0.11,0.019,0,0,0,0.7,4.7,0.7,0,4.0,0,1.3,45,182,18,0.295,21,0.69,30,0.42,0.48,83,0,286,0,0.054,0.095,0,34.5,0
Galletitas de salvado o integrales,411,5.4,10.6,15.8,0,3.16,10.70,1.70,0,1.50,0.100,0,0,0,56.5,69.6,1.2,1.2,9.8,0,1.89,543,182,19,0.42,200,3.34,110,2.2,2.40,28,0,0,0,0.182,0.021,0,0,0
Galletitas integrales sin sal,411,5.4,10.6,15.8,0,0.90,11.20,0.90,0,0.81,0.090,0,0,0,56.5,69.6,1.2,1.2,9.8,0,x,30,182,19,0.42,200,3.34,110,2.2,2.40,28,0,0,0,0.182,0.021,0,0,0
Snacks saborizados salados a base de maíz,548,2.6,7.1,30.0,0,2.50,24.50,2.50,0,2.45,0.050,0,0,0,62.4,67.8,0.8,0,5.4,0,x,780,182,106,0.097,225,1.52,84,1.38,0.84,12,0,0,0,0.140,0.070,0,0,0
Naranja,43,86.8,0.94,0.12,0,0.015,0.023,0.025,0,0.018,0.007,0,0,0,9.35,11.7,9.35,0,2.4,0,0.44,0,181,40,0.045,14,0.1,10,0.07,0.282,30,0,11,0,0.087,0.04,0,53.2,0
Sopa de fideos deshidratada en- vasada para preparar,450,4.3,10.9,18.7,0,9.38,8.00,1.00,0,0.95,0.050,0,0,0,59.4,60.9,4.7,4.7,3.1,0,5.23,2094,181,21,0.126,115,4.11,25,0.6,5.40,165,70,1,0,0.448,0.255,0.25,0.3,0
"McDonald's, BigMc",240,53.7,12.1,12.1,36,4.81,2.82,0.25,0.33,0.22,0.025,0,0,0,20.6,22.0,4.0,2.0,1.4,0,x,453,181,116,0.098,122,2.00,20,1.91,3.38,46,0,0,0,0.176,0.209,0.88,0.4,0
Masas finas surtidas (panadería / confitería),431,14.2,6.2,15.1,152,5.51,6.53,0.77,0.20,0.75,0.020,0,0,0,67.6,68.6,45.7,45.7,1.0,0,x,350,180,17,0.1,172,2.10,10,0.7,1.35,142,77,215,215,0.330,0.120,0,0,0
Queso Parmesano,350,34.3,32.7,24.4,75,13.50,6.20,1.21,0.73,0.87,0.102,0,0,0,0,0,0.1,0,0,0,7.18,1804,180,853,0.04,627,0.49,34,4.2,0.08,6,0,262,255,0.026,0.358,1.40,0,0.84
Queso rallado envasado,420,22.7,28.4,27.8,86,15.37,7.13,1.39,0.84,0.87,0.102,0,0,0,13.9,13.9,0.1,0,0,0,7.18,1804,180,853,0.04,627,0.49,34,4.2,0.08,6,0,262,255,0.026,0.358,1.40,0,0.84
"Fideos frescos, al huevo, crudos",285,31.0,11.3,2.3,73,0.33,0.27,0.94,0.01,0.86,0.082,0,0,0,54.7,54.7,2.1,0,3.3,0,0.66,26,179,15,0.228,163,3.35,46,1.22,1.70,284,154,14,14,0.705,0.439,0.31,0,0
"Atún, enlatado al natural",86,78.1,19.4,1.0,36,0.21,0.11,0.28,0.00,0.01,0.002,0.025,0.028,0.196,0,0,0,0,0,0,0.95,247,179,17,0.05,139,1.63,23,0.69,10.14,4,0,17,17,0.030,0.084,2.55,0,1.88
"Palmitos, enlatados",25,90.2,2.5,0.6,0,0.13,0.10,0.20,0,0.18,0.019,0,0,0,2.2,4.6,0,0,2.4,0,2.04,426,177,58,0.133,65,3.13,38,1.15,0.44,39,0,0,0,0.011,0.057,0,7.9,0
"Cereal desayuno, bolitas de cho- colate",378,3.4,3.3,3.5,0,0.96,2.08,0.23,0,0.21,0.023,0,0,0,83.4,87.2,43.7,43.7,3.8,0,2.25,534,176,70,0.24,141,0.40,36,0.56,1.10,19,0,0,0,0.050,0.100,0,0,0
"Ají verde o amarillo / morrón verde o amarillo, crudo",17,93.9,0.9,0.2,0,0.06,0.01,0.06,0,0.05,0.008,0,0,0,2.9,4.6,2.4,0,1.7,0,0.43,3,175,10,0.066,20,0.34,10,0.13,0.48,10,0,18,0,0.057,0.028,0,80.4,0
"Ají verde o amarillo / morrón verde o amarillo, rehogado",17,93.9,0.9,0.2,0,0.06,0.01,0.06,0,0.05,0.008,0,0,0,2.9,4.6,2.4,0,1.7,0,0.43,3,175,10,0.066,20,0.34,10,0.13,0.46,8,0,16,0,0.051,0.027,0,68.3,0
"Pan cacho (tipo pan casero de campo, sin grasa)",268,29.8,8.4,0.7,0,0.13,0.10,0.25,0.00,0.23,0.022,0,0,0,57.0,59.8,0.2,0,2.8,0,1.37,400,175,19,0.09,136,3.30,22,1.04,1.90,200,106,0,0,0.464,0.131,0,0,0
Pan criollo / semita / tortillas / bollos / harinitas,268,29.8,8.4,0.7,0,0.13,0.10,0.25,0.00,0.23,0.022,0,0,0,57.0,59.8,0.2,0,2.8,0,1.37,400,175,19,0.09,136,3.30,22,1.04,1.90,200,106,0,0,0.464,0.131,0,0,0
Pan francés o pan casero sin agregado de grasa o aceite,268,29.8,8.4,0.7,0,0.13,0.10,0.25,0.00,0.23,0.022,0,0,0,57.0,59.8,0.2,0,2.8,0,1.37,400,175,19,0.09,136,3.30,22,1.04,1.90,200,106,0,0,0.464,0.131,0,0,0
Pan francés sin sal,268,29.8,8.4,0.7,0,0.13,0.10,0.25,0.00,0.23,0.022,0,0,0,57.0,59.8,0.2,0,2.8,0,1.37,10,175,19,0.09,136,3.30,22,1.04,1.90,200,106,0,0,0.464,0.131,0,0,0
Ensure Plus (mililitro),141,69.8,5.2,4.5,2,0.57,1.10,2.66,0,2.62,0.032,0,0,0,19.9,19.9,8.3,8.3,0,0,0.6,95,175,79,0.198,79,1.79,40,1.51,1.98,67,40,149,149,0.151,0.171,0.60,11.9,1.60
Ensure Plus drink (mililitro),141,69.8,5.2,4.5,2,0.57,1.10,2.66,0,2.62,0.032,0,0,0,19.9,19.9,8.3,8.3,0,0,0.6,95,175,79,0.198,79,1.79,40,1.51,1.98,67,40,149,149,0.151,0.171,0.60,11.9,1.60
Frebini energy drink (mililitro),141,69.8,5.2,4.5,2,0.57,1.10,2.66,0,2.52,0.133,0,0,0,19.9,19.9,8.3,8.3,0,0,0.6,95,175,79,0.198,79,1.79,40,1.51,1.98,67,40,149,149,0.151,0.171,0.60,11.9,1.60
"McDonald's, Sundae frutilla",154,65.8,3.4,3.4,13,2.20,0.98,0.19,0.07,0.00,0,0,0,0,27.4,27.4,25.3,20.8,0,0,x,62,173,110,0.015,91,0.10,11,0.39,0.13,11,0,81,81,0.039,0.195,0.49,1.5,0
"Quinoa, semilla, hervida",109,71.6,4.4,1.9,0,0.23,0.53,1.08,0,0.97,0.085,0.003,0,0.015,18.5,21.3,0.9,0,2.8,0,0.76,7,172,17,0.192,152,1.49,64,1.09,0.41,42,0,0,0,0.107,0.110,0,0,0
Tostadas de mesa,388,4.8,13.0,4.2,0,0.48,2.77,0.56,0,0.53,0,0,0,0,74.5,81.4,2.5,2.5,3.5,0,x,482,171,12,0.2,140,4.43,23,0.7,2.88,304,164,0,0,0.790,0.213,0,0,0
Tostadas integrales,386,4.5,13.0,4.2,0,0.48,2.77,0.56,0,0.53,0,0,0,0,74.0,81.4,3.0,3.0,4.3,0,x,497,171,12,0.2,140,4.43,23,0.7,2.88,304,164,0,0,0.790,0.213,0,0,0
Tostadas light,361,7.0,12.0,1.0,0,0.10,0.70,0.20,0,0.18,0.020,0,0,0,76.0,80.0,0,0,4.0,0,x,440,171,12,0.2,140,4.43,23,0.7,2.88,304,164,0,0,0.790,0.213,0,0,0
Tostadas sin sal,388,4.8,13.0,4.2,0,0.48,2.77,0.56,0,0.53,0,0,0,0,74.5,81.4,2.5,2.5,3.5,0,x,12,171,12,0.2,140,4.43,23,0.7,2.88,304,164,0,0,0.790,0.213,0,0,0
"Leche de cabra, entera, fluida",84,86.2,3.3,5.9,11,2.67,1.11,0.15,0.14,0.11,0.004,0,0,0,4.5,4.5,4.5,0,0,0,1.60,27,171,153,0.046,139,0.26,14,0.3,0.28,1,0,57,56,0.048,0.138,0.07,1.3,0.1
"Repollo, crudo",19,92.2,1.3,0.1,0,0.03,0.02,0.02,0,0.02,0,0,0,0,3.3,5.8,3.2,0,2.5,0,0.64,18,170,40,0.019,26,0.47,12,0.18,0.23,43,0,5,0,0.102,0.040,0,23.0,0
"Repollo, hervido",20,92.5,1.3,0.1,0,0.00,0.02,0.02,0,0.02,0,0,0,0,3.6,5.5,2.8,0,1.9,0,0.64,18,170,40,0.019,26,0.47,12,0.18,0.22,30,0,5,0,0.082,0.038,0,12.7,0
Leberwurst,322,52.1,14.1,28.5,158,10.60,13.34,2.60,0,2.45,0.140,0,0,0,2.2,2.2,1.0,0,0,0,3.1,860,170,26,0.24,230,6.40,12,2.3,4.30,30,0,8308,8308,0.272,1.030,13.46,0,0.60
Mango,60,83.5,0.8,0.4,0,0.09,0.14,0.07,0,0.02,0.051,0,0,0,13.4,15.0,13.7,0,1.6,0,0.36,1,168,11,0.111,14,0.16,10,0.09,0.67,43,0,54,0,0.028,0.038,0,36.4,0
"Prefritos congelados, patitas de vegetales (espinaca)",225,55.3,5.4,12.1,0,1.50,3.00,7.00,0,6.86,0.140,0,0,0,23.7,27.2,0,0,3.5,0,x,471,167,29,0.04,15,0.92,24,0.16,0.21,28,0,127,0,0,0.060,0,0,0
Mandarina,52,85.2,0.8,0.3,0,0.04,0.06,0.07,0,0.05,0.018,0,0,0,11.5,13.3,10.6,0,1.8,0,0.38,2,166,37,0.042,20,0.15,12,0.07,0.38,16,0,34,0,0.058,0.036,0,26.7,0
"Cous Cous, crudo",347,8.6,12.8,0.6,0,0.12,0.09,0.25,0,0.24,0.012,0,0,0,72.4,77.4,0,0,5.0,0,0.62,10,166,24,0.247,170,1.08,44,0.83,3.49,20,0,0,0,0.163,0.078,0,0,0
Pan de Centeno,234,37.3,8.5,3.3,0,0.63,1.31,0.80,0,0.74,0.060,0,0,0,42.5,48.3,3.9,3.9,5.8,0,2.5,603,166,73,0.186,125,2.83,40,1.14,3.81,151,59,0,0,0.434,0.335,0,0.4,0
"McDonald's, Cajita Feliz, Mc Tos- tado",229,47.7,10.5,5.8,29,3.10,1.71,0.64,0.00,0.48,0.038,0,0,0,33.7,36.0,0,0,2.3,0,x,732,165,144,0.13,252,2.76,30,1.64,4.31,117,45,28,27,0.612,0.369,0.42,0,0.13
Limón,35,89.3,0.9,0.6,0,0.04,0.01,0.09,0,0.06,0.026,0,0,0,6.5,8.7,2.5,0,2.8,0,0.50,6,163,26,0.037,21,0.35,8,0.06,0.10,11,0,1,0,0.051,0.012,0,62.6,0
Galletitas dulces rellenas,473,2.7,4.9,19.6,20,8.76,8.45,1.71,0.60,1.20,0.450,0.002,0,0,69.4,71.6,40.0,40.0,2.2,0,1.37,388,163,24,0.224,84,2.21,31,0.57,1.60,92,52,1,0,0.229,0.241,0,0,0
Mortadela,306,52.3,16.4,25.4,56,9.51,11.38,3.12,0,2.91,0.220,0,0,0,3.1,3.1,0,0,0,0,2.89,1246,163,18,0.06,97,1.40,11,2.1,2.67,3,0,0,0,0.119,0.153,1.48,0,1.00
Mora,27,88.2,1.4,0.5,0,0.01,0.05,0.28,0,0.19,0.094,0,0,0,4.3,9.6,4.9,0,5.3,0,0.37,1,162,29,0.165,22,0.62,20,0.53,0.65,25,0,11,0,0.020,0.026,0,21.0,0
"Jugo de pomelo, exprimido",40,90.0,0.5,0.1,0,0.01,0.01,0.02,0,0.02,0.005,0,0,0,9.2,9.2,8.3,0,0,0,0.2,1,162,9,0.033,15,0.20,12,0.05,0.20,10,0,22,0,0.040,0.020,0,38.0,0
Frutilla,31,90.0,0.8,0.6,0,0.02,0.04,0.16,0,0.09,0.065,0,0,0,5.7,7.7,4.9,0,2.0,0,0.50,2,161,22,0.05,23,0.71,13,0.14,0.40,43,0,1,0,0.041,0.051,0,58.8,0
Kaki,67,78.2,0.8,0.4,0,0.02,0.04,0.04,0,0.04,0.004,0,0,0,15.0,20.0,12.5,0,3.6,0,0.60,1,161,8,0.113,17,0.15,9,0.11,0.10,8,0,81,0,0.016,0.001,0,13.1,0
Ananá,50,85.3,0.4,0.2,0,0.01,0.01,0.04,0,0.02,0.017,0,0,0,11.7,13.7,9.9,0,1.4,0,0.40,2,160,12,0.11,8,0.42,2,0.12,1.00,18,0,3,0,0.066,0.032,0,40.3,0
Cereal infantil para papilla,365,5.2,11.2,0.0,0,0.00,0.00,0.00,0,0.00,0,0,0,0,80.0,83.6,8.0,8.0,3.6,0,x,220,160,460,x,300,17.60,x,6.4,4.80,170,100,440,440,0.560,x,0,88.0,9.60
"Harina de trigo con levadura para pizza, cruda",360,12.9,11.6,2.0,0,0.31,0.17,0.82,0,0.78,0.041,0,0,0,74.0,77.8,0.3,0,3.8,0,0.48,30,160,11,0.144,131,4.15,22,0.7,2.70,407,220,0,0,0.822,0.200,0,0,0
"Harina de trigo fortificada, cruda",329,12.9,10.3,1.0,0,0.16,0.09,0.41,0,0.39,0.022,0,0,0,69.8,76.3,0.3,0,4.0,0,0.48,7,160,11,0.144,131,4.15,22,2.2,2.70,407,220,184,184,0.822,0.200,0.80,0,1.60
"Harina de trigo, cruda",329,12.9,10.3,1.0,0,0.16,0.09,0.41,0,0.39,0.022,0,0,0,69.8,76.3,0.3,0,4.0,0,0.48,7,160,11,0.144,131,4.15,22,0.7,2.70,407,220,0,0,0.822,0.200,0,0,0
"Harina leudante, cruda",329,12.9,10.3,1.0,0,0.16,0.09,0.41,0,0.39,0.022,0,0,0,69.8,76.3,0.3,0,4.0,0,4.33,714,160,11,0.144,131,4.15,22,0.7,2.70,407,220,0,0,0.822,0.200,0,0,0
"Pollo, menudos, cocidos",158,66.3,26.8,5.2,357,1.64,1.33,1.22,0,0.83,0.030,0.290,0.010,0.040,0.9,0.9,0,0,0,0,0.83,60,160,12,0.236,213,6.09,20,4.63,4.03,303,0,2443,2443,0.074,0.808,8.45,6.5,0
"Lenguado, crudo",88,80.2,17.5,1.9,45,0.44,0.54,0.37,0.01,0.04,0.017,0.015,0.137,0.108,0.2,0.2,0,0,0,0,1.35,296,160,21,0.019,252,0.18,18,0.32,1.04,5,0,10,10,0.081,0.020,1.13,0,3.5
Alfajor de chocolate con relleno tipo mousse,540,1.1,7.4,31.0,16,24.60,9.80,2.30,0.10,2.19,0.115,0,0,0,57.8,60.5,35.4,35.4,2.7,0,x,80,160,3,0.043,39,1.25,7,0.2,0.81,122,66,0,0,0.247,0.060,0,0,0
"Pan paraguayo / galleta paragua- ya (bollitos con levadura, harina, grasa o manteca, leche, huevos y anís)",307,31.2,8.3,9.0,57,4.86,2.47,0.67,0.29,0.52,0.058,0,0,0,48.2,52.4,5.7,4.4,2.6,0,0.6,53,159,43,0.1,139,3.11,18,0.9,1.96,193,94,89,88,0.513,0.289,0.32,0,0.35
Fortisip Standard (mililitro),150,69.8,6.0,5.8,0,1.16,1.74,1.74,0,1.57,0.174,0,0,0,18.4,18.4,12.3,12.3,0,0,x,90,159,91,0.27,78,2.40,23,1.8,2.70,68,40,123,123,0.230,0.240,0.32,15.0,1.10
Ají en conserva,20,93.1,1.1,0.3,0,0.05,0.02,0.16,0,0.14,0.013,0,0,0,3.2,5.1,2.7,0,1.9,0,0.4,14,158,6,0.049,17,1.68,6,0.19,0.62,6,0,133,0,0.017,0.060,0,84.9,0
Queso de cabra,355,45.5,21.6,29.8,79,20.64,6.81,0.71,0.90,0.50,0.213,0,0,0,0.1,0.1,0.1,0,0,0,2.94,415,158,298,0.564,375,1.62,29,0.66,1.15,2,0,407,401,0.072,0.676,0.22,0,0.88
"Galletitas dulces, SIN TACC",458,5.7,3.0,17.0,0,1.70,14.00,1.30,0,1.17,0.130,0,0,0,73.3,74.3,20.3,20.3,1.0,0,x,17,157,19,0.261,70,0.70,40,0.66,0.39,0,0,0,0,0.050,0.076,0,0,0
Jevity (mililitro),87,83.3,4.0,3.5,0,0.94,1.60,0.72,0,0.65,0.072,0,0,0,10.0,11.1,0,0,1.1,0,x,93,157,92,0.15,72,1.40,22,1.1,1.80,46,27,20,20,0.170,0.200,0.39,10.0,0.75
"Arveja, enlatada",104,70.4,6.0,0.8,0,0.04,0.02,0.10,0,0.08,0.019,0,0,0,18.3,21.7,5.9,0,3.4,0,1.10,88,155,54,0.173,67,1.50,39,1.5,2.90,63,0,40,0,0.086,0.087,0,2.2,0
Yogur descremado con frutas,56,86.2,3.9,0.3,0,0.18,0.10,0.00,0,0.00,0,0,0,0,9.3,9.6,9.3,4.8,0.3,0,x,111,155,121,0.009,95,0.05,12,0.59,0.08,7,0,122,122,0.029,0.142,0.37,0.5,0.95
Yogur entero con cereales,123,72.5,3.9,2.8,12,1.73,0.80,0.08,0.09,0.07,0.008,0,0,0,20.5,20.8,14.5,10.8,0.3,0,x,55,155,121,0.009,95,0.05,12,0.59,0.08,7,0,77,77,0.029,0.142,0.37,0.5,0.69
Yogur entero con frutas,96,79.0,3.6,2.6,13,1.44,1.00,0.10,0.10,0.09,0.010,0,0,0,14.7,14.9,14.7,10.2,0.2,0,x,84,155,121,0.009,95,0.05,12,0.59,0.08,7,0,103,103,0.029,0.142,0.37,0.5,0.82
Yogur entero con frutas y cereales,133,70.5,3.2,3.4,13,1.97,0.89,0.09,0.10,0.08,0.009,0,0,0,22.3,22.9,20.8,8.2,0.6,0,0.72,46,155,121,0.009,95,0.05,12,0.59,0.08,7,0,27,27,0.029,0.142,0.37,0.5,0.08
Yogur entero natural,62,87.9,3.5,3.3,13,2.10,0.89,0.09,0.10,0.08,0.009,0,0,0,4.7,4.7,4.7,0,0,0,0.72,46,155,121,0.009,95,0.05,12,0.59,0.08,7,0,27,27,0.029,0.142,0.37,0.5,0.08
Yogur entero saborizado,87,81.4,3.5,3.3,13,2.10,0.89,0.09,0.10,0.08,0.009,0,0,0,11.0,11.0,11.0,6.3,0,0,0.72,46,155,121,0.009,95,2.40,12,0.59,0.08,7,0,66,66,0.029,0.142,0.37,0.5,0.60
Ricota,169,70.9,11.6,11.8,49,7.28,3.02,0.50,0.35,0.35,0.151,0,0,0,4.0,4.0,0.3,0,0,0,1.58,146,155,193,0.018,241,0.26,20,0.53,0.14,4,0,120,117,0.013,0.298,0.85,0,0.40
Merengues / merenguitos,347,12.5,5.8,0.1,0,0.00,0.00,0.00,0,0.00,0,0,0,0,80.8,80.8,80.4,80.4,0,0,x,243,153,5,0.019,8,0.10,6,0.03,0.05,2,0,0,0,0.002,0.236,0.04,0,0
Galleta marinera con semillas / galletitas crackers con semillas,422,2.8,12.2,11.6,0,1.16,9.05,1.16,0,1.04,0.116,0,0,0,67.1,70.6,1.3,0,3.5,0,2.79,566,152,19,0.139,102,3.65,23,0.69,3.20,216,117,1,1,0.702,0.487,0.09,0,0
"Galleta marinera, light en grasas",370,6.0,12.2,4.0,0,0.40,3.20,0.40,0,0.36,0.040,0,0,0,71.3,74.1,1.3,0,2.8,0,2.79,566,152,19,0.139,102,3.65,23,0.69,3.20,216,117,1,1,0.702,0.487,0.09,0,0
Galletitas de agua con girasol alto oleico,438,6.0,12.2,11.6,0,1.16,9.05,1.16,0,1.10,0.058,0,0,0,71.3,74.1,1.3,0,2.8,0,2.79,566,152,19,0.139,102,3.65,23,0.69,3.20,216,117,1,1,0.702,0.487,0.09,0,0
Galletitas de agua con grasa va- cuna,451,6.0,12.2,13.0,18,6.00,5.30,1.40,0.60,1.00,0.360,0,0,0,71.3,74.1,1.3,0,2.8,0,2.79,566,152,19,0.139,102,3.65,23,0.69,3.20,216,117,1,1,0.702,0.487,0.09,0,0
Galletitas de agua light,438,6.0,12.2,11.6,0,1.16,9.05,1.16,0,1.10,0.058,0,0,0,71.3,74.1,1.3,0,2.8,0,2.79,566,152,19,0.139,102,3.65,23,0.69,3.20,216,117,1,1,0.702,0.487,0.09,0,0
Galletitas de agua sin sal,438,6.0,12.2,11.6,10.0,4.58,4.85,1.13,0.30,1.00,0.130,0,0,0,71.3,74.1,1.3,0,2.8,0,1,18,152,19,0.139,102,3.65,23,0.69,3.20,216,117,1,1,0.702,0.487,0.09,0,0
Galletitas de agua sin sal con chía y lino,435,2.2,12.2,11.6,0,1.16,9.05,1.16,0,1.04,0.116,0,0,0,70.6,74.1,1.3,0,3.5,0,x,20,152,19,0.139,102,3.65,23,0.69,3.20,216,117,1,1,0.702,0.487,0.09,0,0
"Galletitas de agua, PROMEDIO",438,6.0,12.2,11.6,10.0,4.58,4.85,1.13,0.30,1.00,0.130,0,0,0,71.3,74.1,1.3,0,2.8,0,2.79,566,152,19,0.139,102,3.65,23,0.69,3.20,216,117,1,1,0.702,0.487,0.09,0,0
Galletitas tipo talitas o fajitas,438,6.0,12.2,11.6,10.0,4.58,4.85,1.13,0.30,1.00,0.130,0,0,0,71.3,74.1,1.3,0,2.8,0,2.79,566,152,19,0.139,102,3.65,23,0.69,3.20,216,117,1,1,0.702,0.487,0.09,0,0
Mostaza,52,83.7,3.7,3.3,0,0.21,2.18,0.77,0.01,0.36,0.373,0,0,0,1.8,5.8,0.9,0,4.0,0,3.37,1104,152,63,0.074,108,1.61,48,0.64,0.57,7,0,5,0,0.177,0.070,0,0.3,0
"Durazno, enlatado (fruta y almíbar)",70,80.9,0.4,0.1,0,0.01,0.04,0.05,0,0.05,0.001,0,0,0,16.9,18.2,16.9,12.1,1.3,0,0.40,1,151,4,0.051,10,0.27,5,0.09,0.61,3,0,17,0,0.011,0.024,0,3.6,0
Frambuesa,32,85.8,1.2,0.7,0,0.02,0.06,0.38,0,0.25,0.126,0,0,0,5.4,11.9,4.4,0,6.5,0,0.46,1,151,25,0.09,29,0.69,22,0.42,0.60,21,0,2,0,0.032,0.038,0,26.2,0
Tostadas de gluten,335,14.1,20.0,1.1,0,0.17,0.10,0.47,0,0.33,0,0,0,0,61.3,66.9,0.2,0,3.5,0,x,325,151,31,0.1,150,4.31,22,0.7,2.30,242,131,0,0,0.629,0.170,0,0,0
Flan envasado listo para consu- mir,129,70.9,3.2,2.6,14,2.70,1.06,0.14,0.11,0.12,0.014,0,0,0,23.1,23.3,23.3,18.7,0.2,0,x,86,151,119,0.01,93,0.05,13,0.38,0.08,5,0,33,31,0.038,0.161,0.36,1.5,0
Flan envasado listo para consu- mir light,91,77.9,4.4,0.6,27,0.30,0.20,0.05,0,0.05,0.005,0,0,0,17.1,17.1,15.0,10.5,0,0,x,91,151,119,0.01,93,0.05,13,0.38,0.08,5,0,33,31,0.038,0.161,0.36,1.5,0
"Leche de vaca, ordeñada (sin nin- gún tipo de procesamiento)",65,87.7,3.3,3.7,14,2.28,1.06,0.14,0.11,0.10,0.036,0,0,0,4.7,4.7,4.7,0,0,0,0.72,49,151,119,0.01,93,0.05,13,0.38,0.08,5,0,33,31,0.038,0.161,0.36,1.5,0
Polvo para preparar brownie,415,5.3,5.0,8.4,0,3.00,4.00,1.30,0,1.15,0.150,0,0,0,80.0,84.5,40.0,40.0,4.5,0,x,289,150,12,0.27,94,2.44,37,0.67,1.20,115,61,0,0,0.298,0.093,0,0,0
"Brotes de soja, crudo",30,90.4,3.0,0.2,0,0.05,0.02,0.06,0,0.04,0.016,0,0,0,4.1,5.9,4.1,0,1.8,0,0.44,6,149,13,0.164,54,0.91,21,0.41,0.75,61,0,1,0,0.084,0.124,0,13.2,0
Budín industrializado,379,25.9,5.9,16.4,66,5.80,2.40,4.10,0.10,2.90,0.372,0.031,0.001,0.007,52.0,52.6,26.8,26.6,0.6,0,1.53,156,149,47,0.042,140,1.48,8,0.43,1.62,52,14,70,69,0.173,0.249,0.36,0,1.36
"Rosca de pascuas (panadería /
confitería)",292,38.3,7.2,11.0,101,5.95,3.20,0.75,0.35,0.56,0,0,0,0,41.2,42.8,14.7,12.5,1.7,0,0.7,63,149,68,0.07,135,2.18,15,0.8,1.31,127,58,98,97,0.338,0.270,0.44,0.1,0.30
Facturas rellenas,339,24.7,7.2,16.9,29,8.10,5.55,2.43,0.81,2.32,0.083,0,0,0,47.1,49.4,20.4,19.7,2.0,0,1.7,314,148,60,0.1,105,1.68,15,0.7,1.71,101,46,88,88,0.300,0.232,0.16,0.5,0
"Queso crema entero, untable",245,66.2,6.6,22.6,66,13.26,5.84,0.97,1.17,0.53,0.082,0,0,0,3.9,3.9,3.8,0,0,0,0.64,74,148,56,0.018,97,0.11,9,0.5,0.09,9,0,308,303,0.023,0.230,0.22,0,0
Osmolite NH (mililitro),101,84.9,4.0,3.4,0,0.85,1.92,0.50,0,0.45,0.050,0,0,0,13.6,13.6,0,0,0,0,x,88,148,68,0.17,68,1.40,20,1.3,1.70,39,23,108,108,0.160,0.180,0.34,10.0,0.73
Pomelo,22,92.9,0.5,0.1,0,0.01,0.01,0.02,0,0.02,0.019,0,0,0,4.8,5.9,4.8,0,1.1,0,0.70,1,147,13,0.047,10,0.21,8,0.07,0.25,10,0,46,0,0.104,0.078,0,47.8,0
Pan de maíz,265,39.1,6.7,7.1,40,1.56,1.83,3.21,0,2.84,0.349,0.012,0,0.003,43.5,43.5,0,0,2.5,0,3.6,658,147,249,0.051,169,2.50,25,0.6,2.25,118,58,0,0,0.291,0.294,0.15,0.3,0
"Crema chantilly (lista para con- sumir, aerosol o industrial prepa- rada)",263,61.3,3.2,22.2,76,13.83,6.42,0.83,0.74,0.50,0.323,0,0,0,12.5,12.5,8.0,5.7,0,0,0.76,8,147,101,0.01,89,0.05,11,0.37,0.07,3,0,188,184,0.037,0.065,0.29,0,0.64
"Cebolla, cruda",36,89.1,1.1,0.1,0,0.04,0.01,0.02,0,0.01,0.004,0,0,0,7.6,9.3,4.2,0,1.7,0,0.35,4,146,23,0.039,29,0.21,10,0.17,0.12,19,0,0,0,0.046,0.027,0,7.4,0
"Cebolla, rehogada",36,89.1,1.1,0.1,0,0.04,0.01,0.02,0,0.01,0.004,0,0,0,7.6,9.3,4.2,0,1.7,0,0.35,4,146,23,0.039,29,0.21,10,0.17,0.11,13,0,0,0,0.041,0.026,0,6.3,0
Acerola,31,91.4,0.4,0.3,0,0.07,0.08,0.09,0,0.05,0.044,0,0,0,6.6,7.7,5.0,0,1.1,0,0.2,7,146,12,0.086,11,0.20,18,0.1,0.40,14,0,38,0,0.020,0.060,0,1677.6,0
"Capelettis frescos, artesanal, cru- do",295,46.3,13.7,8.0,3.4,4.00,2.30,0.97,0.17,0.84,0.075,0,0,0,42.1,44.8,1.5,0,2.7,0,x,364,146,141,0.04,183,1.14,29,1.2,1.35,21,0,77,69,0.341,0.126,0.50,0,0.37
Churros,354,34.2,4.6,20.0,0,2.62,6.37,10.00,0,9.80,0.200,0,0,0,38.8,40.0,10.0,10.0,1.2,0,x,2,146,7,0.045,108,1.80,14,0.4,1.27,149,81,0,0,0.380,0.100,0,0,0
"Masas secas surtidas (panadería
/ confitería)",547,1.5,5.9,32.7,25,13.30,14.07,4.62,0.05,4.41,0.165,0,0,0,57.2,60.3,28.2,27.3,2.1,0,0.6,28,146,42,0.14,100,2.51,24,0.6,1.16,116,61,16,16,0.303,0.169,0.13,0.3,0.10
