Alimento,Valor energético (Kcal),Agua (g),Proteínas (g),Lípidos totales (g),Colesterol (mg),Saturados (g),Monoinsaturados (g),Polininsaturados (g),Trans (g),18:2 cis Linoléico (g),18:3 cis Alfa linolénico (ALA) (g),20:4 Araquidónico (g),20:5 n-3 Eicosapentae- noico (EPA) (g),22:6 n-3 Docosahexae- noico (DHA) (g),Carbohidratos disponibles (g),Carbohidratos totales (g),Azúcar total (g),Azúcar agregado (g),Fibra alimentaria (g),Alcohol (g),Cenizas (g),Sodio (mg),Potasio (mg),Calcio (mg),Cobre (mg),Fósforo (mg),Hierro (mg),Magnesio (mg),Zinc (mg),Niacina (mg),Folato EFD (µg),Ácido fólico (µg),"Vitamina A, (µg)
RAE",Retinol (µg),Tiamina (mg),Riboflavina (mg),Vitamina B-12 (µg),Vitamina C (mg),Vitamina D (µg)
"Jardinera, enlatada",67,78.3,3.7,0.2,0,0.04,0.01,0.10,0,0.09,0.013,0,0,0,12.5,15.9,3.6,0,3.4,0,1.97,250,421,33,0.10,77,0.91,21,0.51,1.00,28,0,322,0,0.101,0.093,0,14.6,0
"Batata, cruda",73,78.0,1.1,0.1,0,0.02,0.00,0.01,0,0.01,0,0,0,0,17.1,19.8,4.2,0,3.0,0,1.10,6,417,34,0.151,64,0.25,25,0.3,1.10,11,0,328,0,0.103,0.140,0,20.1,0
Jengibre,77,78.9,1.8,0.8,0,0.20,0.15,0.15,0,0.12,0.034,0,0,0,15.8,17.8,1.7,0,2.0,0,0.77,13,415,16,0.226,34,0.60,43,0.34,0.75,11,0,0,0,0.025,0.034,0,5.0,0
"Hinojo, crudo",24,90.21,1.2,0.2,0,0.09,0.07,0.17,0,0.17,0,0,0,0,4.2,7.3,3.9,0,3.1,0,1.05,52,414,49,0.066,50,0.73,17,0.2,0.64,27,0,48,0,0.010,0.032,0,12.0,0
"Hinojo, hervido",24,90.2,1.2,0.2,0,0.09,0.07,0.17,0,0.17,0,0,0,0,4.2,7.3,3.9,0,3.1,0,1.05,52,414,49,0.066,50,0.73,17,0.2,0.61,19,0,43,0,0.009,0.030,0,10.2,0
"Trigo burgol, crudo",315,9.0,12.3,1.3,0,0.23,0.17,0.54,0,0.52,0.023,0,0,0,63.4,75.9,0.4,0,12.5,0,1.51,17,410,35,0.335,300,2.46,164,1.93,5.11,27,0,0,0,0.232,0.115,0,0,0
Papas prefritas congeladas enva- sadas,143,66.6,2.2,4.7,0,0.94,2.96,0.27,0,0.25,0.018,0,0,0,22.9,24.8,0.2,0,1.9,0,1.68,23,408,9,0.093,83,0.62,21,0.35,2.04,35,0,0,0,0.098,0.048,0,17.3,0
Harina de chía,374,5.8,16.5,30.7,0,3.33,2.31,23.67,0.14,5.84,17.830,0,0,0,7.7,42.1,0,0,34.4,0,4.8,16,407,631,0.924,860,7.72,335,4.58,8.83,49,0,0,0,0.620,0.170,0,1.6,0
"Pacú, crudo",121,71.6,20.7,4.2,46,2.41,0.69,0.26,0,0.07,0.076,0.070,0.051,0.100,0,0,0,0,0,0,1.24,47,407,22,0.03,177,1.10,23,0.65,3.04,12,0,0,0,0.366,0.327,17.10,0,1.40
Semilla de chía,374,5.8,16.5,30.7,0,3.33,2.31,23.67,0.14,5.84,17.830,0,0,0,7.7,42.1,0,0,34.4,0,4.8,16,407,631,0.924,860,7.72,335,4.58,8.83,49,0,0,0,0.620,0.170,0,1.6,0
Garrapiñada de maní,539,1.6,15.5,33.7,0,4.68,16.72,10.65,0,10.65,0.002,0,0,0,43.3,47.4,42.2,42.2,4.1,0,x,156,407,78,0.774,308,0.97,110,3.94,7.92,75,0,0,0,0.100,0.140,0,0,0
"Cabra, al horno",136,68.2,27.1,3.0,75,0.93,1.36,0.23,0,0.13,0.020,0.080,0,0,0,0,0,0,0,0,1.46,86,405,17,0.303,201,3.73,0,5.27,3.95,5,0,0,0,0.090,0.610,1.19,0,0
Chivito (horno/parrilla),136,68.2,27.1,3.0,75,0.93,1.36,0.23,0,0.13,0.020,0.080,0,0,0,0,0,0,0,0,1.46,86,405,17,0.303,201,3.73,0,5.27,3.95,5,0,0,0,0.090,0.610,1.19,0,0
Palometa,277,52.8,25.8,19.0,52,5.55,7.83,2.32,0,0.55,0.192,0,0.615,0.859,0.9,0.9,0,0,0,0,1.59,60,405,51,0.04,244,0.64,29,0.83,3.70,11,0,0,0,0.191,0.136,8.39,0,1.79
